N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.75	iSLIP	12.5484	6.17927	0.0542125	0.21685	0.0170875	0
5	0.75	iSLIP	13.7522	6.74397	0.04174	0.2087	0.02107	0
6	0.75	iSLIP	13.4429	6.87349	0.0345667	0.2074	0.019975	0.00010001
7	0.75	iSLIP	14.0104	6.93854	0.029449	0.206143	0.0223214	0.00030003
8	0.75	iSLIP	14.238	7.01466	0.0255875	0.2047	0.0225	0.000787579
9	0.75	iSLIP	14.1833	7.01228	0.0227074	0.204367	0.0223778	0.00030003
10	0.75	iSLIP	14.5013	7.31518	0.020103	0.20103	0.023825	0.00144014
11	0.75	iSLIP	14.7407	7.46579	0.0182223	0.200445	0.0250045	0.00190928
12	0.75	iSLIP	14.5402	7.25171	0.0167792	0.20135	0.0237667	0.00107511
13	0.75	iSLIP	14.5881	7.50474	0.0154231	0.2005	0.0241462	0.00203097
14	0.75	iSLIP	14.9737	7.60554	0.014223	0.199121	0.0257179	0.00180018
15	0.75	iSLIP	14.9919	7.56739	0.0132289	0.198433	0.02604	0.00238024
16	0.75	iSLIP	14.841	7.69356	0.0124078	0.198525	0.0253844	0.00213771
17	0.75	iSLIP	14.9749	7.65778	0.0116941	0.1988	0.0255559	0.00257673
18	0.75	iSLIP	15.1133	7.6341	0.0110222	0.1984	0.0264806	0.0026336
19	0.75	iSLIP	14.9418	7.71371	0.0104247	0.198068	0.0256237	0.00255815
20	0.75	iSLIP	15.0469	7.93879	0.009832	0.19664	0.0260875	0.00340534
21	0.75	iSLIP	15.088	7.61808	0.00945215	0.198495	0.0262143	0.00235738
22	0.75	iSLIP	15.0219	7.71854	0.0089907	0.197795	0.0255727	0.00305485
23	0.75	iSLIP	14.9548	7.76265	0.00861493	0.198143	0.0259196	0.00281767
24	0.75	iSLIP	14.9969	7.8777	0.00824253	0.197821	0.0259438	0.00328783
25	0.75	iSLIP	14.9821	7.87187	0.00789168	0.197292	0.025744	0.00270027
26	0.75	iSLIP	15.2731	7.93341	0.00753047	0.195792	0.0268385	0.00403887
27	0.75	iSLIP	15.2052	8.0477	0.00725775	0.195959	0.0271019	0.00444489
28	0.75	iSLIP	15.2206	7.91097	0.00700778	0.196218	0.0269196	0.00366465
29	0.75	iSLIP	15.0616	7.80514	0.00680476	0.197338	0.0260586	0.00273131
30	0.75	iSLIP	15.1835	7.90435	0.00655211	0.196563	0.0267367	0.00359036
31	0.75	iSLIP	15.0487	7.91717	0.00634901	0.196819	0.0260726	0.00342615
32	0.75	iSLIP	15.1886	7.84543	0.00615068	0.196822	0.0266937	0.00310344
33	0.75	iSLIP	15.1409	7.88788	0.00596713	0.196915	0.0263258	0.00351853
34	0.75	iSLIP	15.1968	8.00806	0.00576739	0.196091	0.0268662	0.00403276
35	0.75	iSLIP	15.1992	7.9174	0.00560588	0.196206	0.0266257	0.00373752
