N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	KOUQ	3.13881	1.92539	0.0418	0.16695	0.000125	0
5	0.5	KOUQ	3.22287	2.03402	0.033672	0.1679	0.00023	0
6	0.5	KOUQ	3.26958	2.08928	0.0278833	0.166867	0.000208333	0
7	0.5	KOUQ	3.25814	2.03759	0.0236939	0.165414	0.000214286	0
8	0.5	KOUQ	3.28008	2.07264	0.0208641	0.166425	0.0002375	0
9	0.5	KOUQ	3.28485	2.10895	0.0184901	0.165778	0.000305556	0
10	0.5	KOUQ	3.31442	2.11386	0.016767	0.16707	0.000295	0
11	0.5	KOUQ	3.28552	2.10669	0.0149504	0.163845	0.000290909	0
12	0.5	KOUQ	3.29111	2.09839	0.0138521	0.165575	0.000325	2.50025e-05
13	0.5	KOUQ	3.34411	2.13747	0.0128769	0.166762	0.000292308	0
14	0.5	KOUQ	3.33125	2.12439	0.0119327	0.166471	0.000285714	0
15	0.5	KOUQ	3.30478	2.11658	0.0110813	0.165607	0.00031	2.0002e-05
16	0.5	KOUQ	3.34626	2.15478	0.0104672	0.166837	0.000303125	0
17	0.5	KOUQ	3.31242	2.11761	0.00981073	0.166141	0.000305882	1.76488e-05
18	0.5	KOUQ	3.35118	2.14861	0.00926512	0.1662	0.000272222	0
19	0.5	KOUQ	3.33629	2.12333	0.00879363	0.166521	0.000265789	1.57911e-05
20	0.5	KOUQ	3.31217	2.11186	0.008302	0.16539	0.00031	0
21	0.5	KOUQ	3.34024	2.12326	0.00794014	0.166229	0.000247619	2.85743e-05
22	0.5	KOUQ	3.38055	2.16246	0.0075938	0.166386	0.000318182	0
23	0.5	KOUQ	3.33489	2.14123	0.00721626	0.165261	0.000347826	0
24	0.5	KOUQ	3.38327	2.18413	0.00695087	0.166246	0.00028125	0
25	0.5	KOUQ	3.37359	2.17801	0.00668656	0.166452	0.000346	0
26	0.5	KOUQ	3.36089	2.15764	0.00642855	0.166427	0.000342308	1.15396e-05
27	0.5	KOUQ	3.36872	2.16766	0.00617229	0.166019	0.000316667	3.33367e-05
28	0.5	KOUQ	3.34411	2.14632	0.00594043	0.165643	0.000330357	1.07154e-05
29	0.5	KOUQ	3.38481	2.18801	0.00576897	0.166593	0.000334483	1.03459e-05
30	0.5	KOUQ	3.36011	2.15536	0.00556278	0.1662	0.000335	0
31	0.5	KOUQ	3.3573	2.15467	0.00537492	0.165942	0.000327419	0
32	0.5	KOUQ	3.39302	2.1771	0.00523691	0.166937	0.000315625	9.37594e-06
33	0.5	KOUQ	3.35909	2.14932	0.00503829	0.165639	0.000306061	9.09182e-06
34	0.5	KOUQ	3.36732	2.15582	0.00493071	0.166988	0.000316176	0
35	0.5	KOUQ	3.35523	2.14104	0.00473633	0.165094	0.000327143	8.57229e-06
36	0.5	KOUQ	3.35616	2.16004	0.00461752	0.165486	0.000365278	1.66683e-05
37	0.5	KOUQ	3.35249	2.15521	0.004487	0.165311	0.000337838	1.62178e-05
38	0.5	KOUQ	3.39741	2.1928	0.00439017	0.166137	0.000332895	1.57911e-05
39	0.5	KOUQ	3.36421	2.15911	0.00426404	0.165646	0.000320513	7.69308e-06
40	0.5	KOUQ	3.36658	2.16149	0.00416537	0.165885	0.000355	0
41	0.5	KOUQ	3.36675	2.17205	0.0040746	0.166332	0.000357317	1.46356e-05
42	0.5	KOUQ	3.36289	2.162	0.00395799	0.165531	0.00035119	2.14307e-05
43	0.5	KOUQ	3.35259	2.15181	0.00387393	0.165837	0.000360465	3.48872e-05
44	0.5	KOUQ	3.35503	2.15557	0.0037657	0.165057	0.000307955	6.81886e-06
45	0.5	KOUQ	3.37539	2.17481	0.00371151	0.166391	0.000304444	1.33347e-05
46	0.5	KOUQ	3.3913	2.17959	0.00363327	0.166463	0.000329348	0
47	0.5	KOUQ	3.36486	2.15866	0.003544	0.165885	0.000329787	1.27672e-05
48	0.5	KOUQ	3.36907	2.16742	0.00347144	0.165906	0.000355208	0
49	0.5	KOUQ	3.37663	2.16626	0.0034005	0.165955	0.00032449	6.12306e-06
50	0.5	KOUQ	3.37177	2.16683	0.00332764	0.165684	0.000342	1.80018e-05
51	0.5	KOUQ	3.36375	2.16181	0.00326555	0.165849	0.000339216	2.35318e-05
52	0.5	KOUQ	3.38805	2.17956	0.00320751	0.166038	0.000367308	1.73094e-05
53	0.5	KOUQ	3.37127	2.16848	0.00315351	0.166381	0.000370755	1.69828e-05
54	0.5	KOUQ	3.38259	2.1825	0.00308625	0.165896	0.000369444	1.11122e-05
55	0.5	KOUQ	3.39788	2.19451	0.00304261	0.166616	0.000354545	0
56	0.5	KOUQ	3.384	2.18362	0.00297643	0.165955	0.000351786	0
57	0.5	KOUQ	3.35958	2.15361	0.00292518	0.166135	0.000295614	1.57911e-05
58	0.5	KOUQ	3.37556	2.17079	0.00288026	0.166345	0.000346552	5.17293e-06
59	0.5	KOUQ	3.37255	2.16889	0.00282186	0.165773	0.000348305	2.0341e-05
60	0.5	KOUQ	3.37181	2.15739	0.00278267	0.166273	0.000339167	2.0002e-05
61	0.5	KOUQ	3.39362	2.18682	0.00273074	0.1659	0.000327869	4.91852e-06
62	0.5	KOUQ	3.38308	2.1795	0.00268587	0.165769	0.000371774	1.45176e-05
63	0.5	KOUQ	3.3888	2.18826	0.00265057	0.166265	0.000352381	1.42871e-05
64	0.5	KOUQ	3.37367	2.16598	0.00260569	0.166122	0.000309375	4.68797e-06
65	0.5	KOUQ	3.38291	2.17374	0.0025715	0.166465	0.000331538	2.30792e-05
